gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60148.53590897658	3.132559389035157	0.14606453517257667	21.446406448588	4.933229227468969e-102	1.129709493090394e-99
ENSG00000156265	31986.299022439147	3.0015010746896276	0.14610593543344427	20.543320610386175	8.83132487160118e-94	1.0111866977983352e-91
ENSG00000180509	35044.20011736631	3.233156512317572	0.17128612260385545	18.875764499585895	1.8049307644511126e-79	1.3777638168643492e-77
ENSG00000142192	47688.06938529501	3.0914409060539776	0.18253014160937292	16.93660498368469	2.4167577543850382e-64	1.3835938143854344e-62
ENSG00000183527	7912.7721769601585	2.8343189009338876	0.16931470570506504	16.739945234710344	6.704984603472837e-63	3.070882948390559e-61
ENSG00000159128	10519.11679329336	2.495885944711448	0.1537277290930698	16.235756290918662	2.8175386087617375e-59	1.0753605690107297e-57
ENSG00000142168	6494.630513928838	2.9852550697961484	0.22478870471491533	13.280271682610344	3.0129900436945916e-40	9.856781714372307e-39
ENSG00000160307	4689.239331341264	3.3581234507941957	0.28741084813861195	11.684052542006508	1.5378482344857213e-31	4.402090571215377e-30
ENSG00000159197	1665.3766167024348	2.238929255894913	0.2031454743670343	11.021310038390094	3.0163681030126424e-28	7.674981062109945e-27
ENSG00000160284	7005.960546475803	3.449918198916437	0.5548002724905073	6.218306605059328	5.025488450367479e-10	1.1508368551341527e-8
ENSG00000183421	2747.3201496488005	-0.6362447693048838	0.17978852620704158	-3.53885079725385	4.018729263233292e-4	0.008366263648003852
ENSG00000166265	1156.3026975045573	-0.6744083177397904	0.20837822715956236	-3.2364624986629376	0.0012102112692788229	0.0230948650554042
ENSG00000156256	5806.500592181519	-0.4452953959239648	0.14634355640415703	-3.04280835361273	0.0023438154958855813	0.04128721142752294
